Iteration 0: loss=11581.46, content_loss:0.00, style_loss:19.53, total_variation_loss:11561.93
Iteration 100: loss=32273.07, content_loss:23136.01, style_loss:11.75, total_variation_loss:9125.31
Iteration 200: loss=23892.20, content_loss:17110.02, style_loss:12.31, total_variation_loss:6769.87
Iteration 300: loss=20944.16, content_loss:15187.56, style_loss:13.02, total_variation_loss:5743.58
Iteration 400: loss=15834.58, content_loss:10845.15, style_loss:13.61, total_variation_loss:4975.82
Iteration 500: loss=13321.87, content_loss:8848.74, style_loss:14.21, total_variation_loss:4458.93
Iteration 600: loss=13217.80, content_loss:9071.51, style_loss:14.57, total_variation_loss:4131.72
Iteration 700: loss=11227.93, content_loss:7418.09, style_loss:15.06, total_variation_loss:3794.78
Iteration 800: loss=11491.09, content_loss:7931.81, style_loss:15.45, total_variation_loss:3543.84
Iteration 900: loss=11183.70, content_loss:7839.19, style_loss:15.71, total_variation_loss:3328.80
Iteration 1000: loss=9333.67, content_loss:6076.41, style_loss:15.91, total_variation_loss:3241.35
Iteration 1100: loss=11899.06, content_loss:8774.87, style_loss:16.26, total_variation_loss:3107.94
Iteration 1200: loss=8085.84, content_loss:5110.24, style_loss:16.42, total_variation_loss:2959.18
Iteration 1300: loss=7413.55, content_loss:4630.73, style_loss:16.80, total_variation_loss:2766.01
Iteration 1400: loss=6885.58, content_loss:4271.88, style_loss:17.07, total_variation_loss:2596.63
Iteration 1500: loss=6915.22, content_loss:4414.64, style_loss:17.24, total_variation_loss:2483.34
Iteration 1600: loss=6610.47, content_loss:4228.60, style_loss:17.51, total_variation_loss:2364.36
Iteration 1700: loss=6069.16, content_loss:3749.52, style_loss:17.65, total_variation_loss:2301.99
Iteration 1800: loss=5436.36, content_loss:3204.18, style_loss:17.86, total_variation_loss:2214.32
Iteration 1900: loss=5753.47, content_loss:3598.97, style_loss:18.06, total_variation_loss:2136.44
Iteration 2000: loss=4722.50, content_loss:2605.21, style_loss:18.14, total_variation_loss:2099.14
Iteration 2100: loss=5219.31, content_loss:3216.84, style_loss:18.38, total_variation_loss:1984.10
Iteration 2200: loss=4293.21, content_loss:2338.28, style_loss:18.51, total_variation_loss:1936.42
Iteration 2300: loss=4187.98, content_loss:2303.20, style_loss:18.68, total_variation_loss:1866.10
Iteration 2400: loss=4083.89, content_loss:2250.54, style_loss:18.81, total_variation_loss:1814.53
Iteration 2500: loss=4487.97, content_loss:2699.90, style_loss:18.90, total_variation_loss:1769.17
Iteration 2600: loss=3740.48, content_loss:1983.69, style_loss:19.03, total_variation_loss:1737.76
Iteration 2700: loss=3530.13, content_loss:1841.95, style_loss:19.17, total_variation_loss:1669.01
Iteration 2800: loss=3504.76, content_loss:1867.89, style_loss:19.30, total_variation_loss:1617.56
Iteration 2900: loss=3223.59, content_loss:1632.46, style_loss:19.42, total_variation_loss:1571.71
Iteration 3000: loss=3245.95, content_loss:1696.00, style_loss:19.54, total_variation_loss:1530.41
Iteration 3100: loss=3212.69, content_loss:1688.37, style_loss:19.63, total_variation_loss:1504.68
Iteration 3200: loss=3068.25, content_loss:1573.92, style_loss:19.71, total_variation_loss:1474.62
Iteration 3300: loss=3001.85, content_loss:1541.94, style_loss:19.81, total_variation_loss:1440.11
Iteration 3400: loss=2785.80, content_loss:1356.01, style_loss:19.91, total_variation_loss:1409.88
Iteration 3500: loss=2608.52, content_loss:1208.09, style_loss:20.00, total_variation_loss:1380.43
Iteration 3600: loss=2490.04, content_loss:1118.79, style_loss:20.09, total_variation_loss:1351.16
Iteration 3700: loss=2529.00, content_loss:1180.95, style_loss:20.17, total_variation_loss:1327.88
Iteration 3800: loss=2967.50, content_loss:1641.95, style_loss:20.25, total_variation_loss:1305.30
Iteration 3900: loss=2500.28, content_loss:1195.54, style_loss:20.33, total_variation_loss:1284.40
Iteration 4000: loss=2318.73, content_loss:1037.29, style_loss:20.40, total_variation_loss:1261.04
Iteration 4100: loss=2285.97, content_loss:1023.18, style_loss:20.47, total_variation_loss:1242.33
Iteration 4200: loss=2198.42, content_loss:957.37, style_loss:20.54, total_variation_loss:1220.51
Iteration 4300: loss=2203.81, content_loss:979.15, style_loss:20.59, total_variation_loss:1204.07
Iteration 4400: loss=2104.81, content_loss:896.83, style_loss:20.65, total_variation_loss:1187.33
Iteration 4500: loss=2029.87, content_loss:836.96, style_loss:20.71, total_variation_loss:1172.20
Iteration 4600: loss=2032.34, content_loss:853.61, style_loss:20.76, total_variation_loss:1157.97
Iteration 4700: loss=1937.00, content_loss:772.60, style_loss:20.81, total_variation_loss:1143.59
Iteration 4800: loss=1890.37, content_loss:740.80, style_loss:20.86, total_variation_loss:1128.71
Iteration 4900: loss=1849.10, content_loss:712.52, style_loss:20.91, total_variation_loss:1115.68
