Iteration 0: loss=5.09, content_loss:0.00, style_loss:4.18, total_variation_loss:0.91
Iteration 100: loss=19243.51, content_loss:18932.55, style_loss:138.48, total_variation_loss:172.48
Iteration 200: loss=12924.04, content_loss:12641.00, style_loss:120.28, total_variation_loss:162.76
Iteration 300: loss=11379.72, content_loss:11116.47, style_loss:108.70, total_variation_loss:154.56
Iteration 400: loss=9174.27, content_loss:8926.37, style_loss:99.33, total_variation_loss:148.57
Iteration 500: loss=8244.64, content_loss:8009.39, style_loss:92.07, total_variation_loss:143.18
Iteration 600: loss=7811.81, content_loss:7588.63, style_loss:85.32, total_variation_loss:137.85
Iteration 700: loss=6719.22, content_loss:6505.44, style_loss:79.71, total_variation_loss:134.06
Iteration 800: loss=6536.14, content_loss:6330.10, style_loss:75.33, total_variation_loss:130.71
Iteration 900: loss=5731.42, content_loss:5532.84, style_loss:71.21, total_variation_loss:127.37
Iteration 1000: loss=5370.05, content_loss:5177.72, style_loss:67.81, total_variation_loss:124.52
Iteration 1100: loss=5005.71, content_loss:4819.14, style_loss:64.85, total_variation_loss:121.72
Iteration 1200: loss=4919.68, content_loss:4738.46, style_loss:62.06, total_variation_loss:119.16
Iteration 1300: loss=4591.96, content_loss:4415.69, style_loss:59.48, total_variation_loss:116.79
Iteration 1400: loss=4412.17, content_loss:4240.36, style_loss:57.18, total_variation_loss:114.62
Iteration 1500: loss=4339.94, content_loss:4172.48, style_loss:54.95, total_variation_loss:112.51
Iteration 1600: loss=4060.34, content_loss:3896.62, style_loss:53.06, total_variation_loss:110.65
Iteration 1700: loss=4081.98, content_loss:3921.64, style_loss:51.43, total_variation_loss:108.90
Iteration 1800: loss=3759.98, content_loss:3602.97, style_loss:49.81, total_variation_loss:107.20
Iteration 1900: loss=4100.00, content_loss:3945.99, style_loss:48.40, total_variation_loss:105.61
Iteration 2000: loss=3588.71, content_loss:3437.31, style_loss:47.10, total_variation_loss:104.30
Iteration 2100: loss=3588.23, content_loss:3439.42, style_loss:45.85, total_variation_loss:102.96
Iteration 2200: loss=3401.38, content_loss:3254.94, style_loss:44.73, total_variation_loss:101.71
Iteration 2300: loss=3341.36, content_loss:3197.16, style_loss:43.67, total_variation_loss:100.53
Iteration 2400: loss=3294.48, content_loss:3152.31, style_loss:42.75, total_variation_loss:99.42
Iteration 2500: loss=3201.96, content_loss:3061.73, style_loss:41.83, total_variation_loss:98.40
Iteration 2600: loss=3198.87, content_loss:3060.49, style_loss:41.00, total_variation_loss:97.38
Iteration 2700: loss=3086.29, content_loss:2949.66, style_loss:40.19, total_variation_loss:96.45
Iteration 2800: loss=3015.44, content_loss:2880.46, style_loss:39.43, total_variation_loss:95.55
Iteration 2900: loss=2977.31, content_loss:2843.95, style_loss:38.72, total_variation_loss:94.64
Iteration 3000: loss=2917.44, content_loss:2785.58, style_loss:38.06, total_variation_loss:93.79
Iteration 3100: loss=2890.86, content_loss:2760.41, style_loss:37.45, total_variation_loss:93.00
Iteration 3200: loss=2859.75, content_loss:2730.61, style_loss:36.88, total_variation_loss:92.26
Iteration 3300: loss=2794.74, content_loss:2666.80, style_loss:36.36, total_variation_loss:91.58
Iteration 3400: loss=2771.05, content_loss:2644.26, style_loss:35.86, total_variation_loss:90.93
Iteration 3500: loss=2722.93, content_loss:2597.21, style_loss:35.40, total_variation_loss:90.31
Iteration 3600: loss=2682.24, content_loss:2557.53, style_loss:34.98, total_variation_loss:89.74
Iteration 3700: loss=2646.42, content_loss:2522.68, style_loss:34.58, total_variation_loss:89.17
Iteration 3800: loss=2623.46, content_loss:2500.66, style_loss:34.17, total_variation_loss:88.62
Iteration 3900: loss=2594.30, content_loss:2472.40, style_loss:33.80, total_variation_loss:88.10
Iteration 4000: loss=2565.40, content_loss:2444.36, style_loss:33.43, total_variation_loss:87.61
Iteration 4100: loss=2541.93, content_loss:2421.70, style_loss:33.11, total_variation_loss:87.13
Iteration 4200: loss=2517.25, content_loss:2397.81, style_loss:32.79, total_variation_loss:86.66
Iteration 4300: loss=2491.53, content_loss:2372.82, style_loss:32.48, total_variation_loss:86.23
Iteration 4400: loss=2469.53, content_loss:2351.53, style_loss:32.19, total_variation_loss:85.81
Iteration 4500: loss=2449.90, content_loss:2332.57, style_loss:31.92, total_variation_loss:85.41
Iteration 4600: loss=2429.26, content_loss:2312.55, style_loss:31.67, total_variation_loss:85.04
Iteration 4700: loss=2410.89, content_loss:2294.79, style_loss:31.42, total_variation_loss:84.68
Iteration 4800: loss=2392.87, content_loss:2277.33, style_loss:31.19, total_variation_loss:84.34
Iteration 4900: loss=2375.69, content_loss:2260.70, style_loss:30.98, total_variation_loss:84.01
